Date,Close,High,Low,Open,Volume
2020-08-26,3762.0,3762.0,3240.0,3240.0,35
2020-08-27,1900.0,2442.800048828125,1482.0,1905.0,35730
2020-08-28,2005.0,2135.0,1876.0,1974.0,12305
2020-08-31,2078.0,2400.0,2064.199951171875,2116.0,8595
2020-09-01,2181.0,2215.0,1882.0,2100.0,10745
2020-09-02,2085.0,2270.0,1930.0,2199.0,8940
2020-09-03,2076.0,2179.0,1990.0,2179.0,7172
2020-09-04,2066.0,2170.0,1927.0,2046.0,5821
2020-09-08,2155.0,2400.0,2005.0,2005.0,6916
2020-09-09,2060.0,2263.0,2012.0,2215.0,6476
2020-09-10,1872.0,2135.0,1868.0,2018.0,7672
2020-09-11,1887.0,1955.0,1820.0,1871.0,6755
2020-09-14,1781.0,1900.0,1721.0,1890.0,7255
2020-09-15,1586.0,1784.0,1550.0,1770.0,11717
2020-09-16,1527.0,1619.0,1520.0,1578.0,7996
2020-09-17,1410.0,1540.0,1400.0,1540.0,10050
2020-09-18,1370.0,1449.0,1294.0,1449.0,15647
2020-09-21,1320.0,1368.0,1178.0,1364.0,14998
2020-09-22,1264.0,1361.0,1242.5999755859375,1361.0,9411
2020-09-23,1385.0,1435.0,1256.0,1270.0,14356
2020-09-24,1341.0,1379.0,1309.0,1360.0,9369
2020-09-25,1438.0,1487.0,1341.0,1341.0,10946
2020-09-28,1614.0,1627.5,1445.0999755859375,1470.0,11602
2020-09-29,1816.0,1888.0,1550.0,1606.0,39564
2020-09-30,1696.0,1841.0,1680.0,1806.0,11356
2020-10-01,1797.0,1852.0,1694.0,1694.0,8018
2020-10-02,1674.0,1849.0,1668.0,1744.0,7394
2020-10-05,1702.5,1762.0,1680.0,1693.0,6644
2020-10-06,1704.0,1799.0,1686.0,1705.0,6492
2020-10-07,1878.0,2075.0,1746.0,1746.0,24386
2020-10-08,2000.0,2069.300048828125,1914.0,1979.0,9926
2020-10-09,2009.0,2140.0,1990.0,2008.0,17766
2020-10-12,2178.0,2196.0,1943.0,2077.0,9285
2020-10-13,2044.0,2219.0,2024.0,2175.0,5856
2020-10-14,2116.0,2161.0,2036.0,2054.0,5423
2020-10-15,1993.0,2051.0,1974.0,2051.0,6252
2020-10-16,1710.0,1886.0,1693.0,1851.0,25731
2020-10-19,1751.0,1892.0,1716.0,1757.0,6828
2020-10-20,1881.0,1907.0,1753.0,1786.0,4399
2020-10-21,1761.0,1909.0,1743.0,1908.0,4281
2020-10-22,1805.0,1810.0,1675.0,1762.0,4453
2020-10-23,1893.0,1900.0,1800.0,1820.0,2626
2020-10-26,1719.0,1899.0,1707.0,1888.0,3428
2020-10-27,1697.0,1741.699951171875,1663.0,1720.0,2595
2020-10-28,1652.0,1687.5,1600.0,1661.0,3809
2020-10-29,1729.0,1776.0,1625.0,1653.0,2594
2020-10-30,1620.0,1716.0,1591.0,1714.0,3195
2020-11-02,1660.0,1700.0,1601.0,1650.0,2467
2020-11-03,1713.0,1723.0,1660.0,1665.0,3509
2020-11-04,1551.0,1713.0,1531.0,1700.0,6857
2020-11-05,1687.0,1733.0,1605.0,1625.0,6320
2020-11-06,1694.0,1800.0,1641.0,1774.0,4632
2020-11-09,1682.0,1895.0,1674.0,1813.0,6154
2020-11-10,1828.0,1918.0,1720.0,1720.0,6846
2020-11-11,1877.0,1887.0999755859375,1800.0,1856.0,6385
2020-11-12,1898.0,1999.0,1866.199951171875,1921.0,7490
2020-11-13,1822.0,1942.0,1790.0,1939.0,9790
2020-11-16,1859.0,1915.0,1826.0,1829.0,3638
2020-11-17,1869.0,1887.0,1793.0,1827.0,4530
