ticker,company_name,sector,market_cap,forward_pe,trailing_pe,price_to_book,profit_margins,operating_margins
MMM,3M Company,Industrials,74925867008,17.360178,14.332291,16.141481,0.13451,0.21433
AOS,A. O. Smith Corporation,Industrials,10375842816,17.70034,18.881266,5.4134197,0.14413,0.17793
ABT,Abbott Laboratories,Healthcare,192880623616,21.571674,33.80091,4.846801,0.13992,0.18749
ABBV,AbbVie Inc.,Healthcare,306962792448,14.240799,60.736362,50.895397,0.09222999,0.28928
ACN,Accenture plc,Technology,219129102336,25.193588,29.3415,7.743634,0.111940004,0.14597
ADBE,Adobe Inc.,Technology,181315502080,18.06566,33.754456,12.743766,0.25588,0.36834
AMD,"Advanced Micro Devices, Inc.",Technology,192532611072,23.10862,104.99248,3.3790407,0.07516,0.10617
AES,The AES Corporation,Utilities,8457666560,5.784943,8.260417,2.5707803,0.08344,0.20158
AFL,Aflac Incorporated,Financial Services,58102673408,14.862043,15.540861,2.3450146,0.22015,0.04815
A,"Agilent Technologies, Inc.",N/A,40685867008,25.21416,32.158016,,,
APD,"Air Products and Chemicals, Inc.",Basic Materials,67207385088,21.547771,17.52,3.9488335,0.31636,0.25791
ABNB,"Airbnb, Inc.",Consumer Cyclical,82329321472,30.0,45.755203,9.904916,0.16956,0.40862998
AKAM,"Akamai Technologies, Inc.",Technology,13565499392,13.291061,26.715977,2.8371248,0.13266,0.15695
ALB,Albemarle Corporation,Basic Materials,11359065088,47.409733,,1.4188812,-0.28798,-0.20657
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,17219299328,38.072456,60.07927,0.93158484,0.09618,0.27855
ALGN,"Align Technology, Inc.",Healthcare,16068707328,20.982704,36.794018,4.0795455,0.111490004,0.16604
ALLE,Allegion plc,Industrials,11339492352,16.832266,20.068462,7.2176733,0.15359999,0.22242
LNT,Alliant Energy Corporation,Utilities,14955873280,18.1092,22.67899,2.1463819,0.16667,0.45051
ALL,The Allstate Corporation,Financial Services,49581715456,9.8068285,12.103426,2.6286676,0.067719996,0.093219995
GOOGL,Alphabet Inc.,Communication Services,2381647970304,21.626299,25.684767,7.571155,0.27738002,0.32312
GOOG,Alphabet Inc.,Communication Services,2382233862144,21.790237,25.879469,7.6285477,0.27738002,0.32312
MO,"Altria Group, Inc.",Consumer Defensive,86325149696,9.516577,8.603886,,0.50511,0.59843
AMZN,"Amazon.com, Inc.",Consumer Cyclical,2328126291968,35.81058,47.30983,8.980329,0.080419995,0.109589994
AMCR,Amcor plc,Consumer Cyclical,13817451520,12.011258,18.037737,3.5237744,0.056750003,0.105579995
AEE,Ameren Corporation,Utilities,24127621120,18.316183,21.268234,2.0387955,0.16053,0.31766
AEP,"American Electric Power Company, Inc.",Utilities,50593673216,16.18192,19.153225,1.9004182,0.13464,0.25792998
AXP,American Express Company,Financial Services,219202158592,20.44242,22.913845,7.3742213,0.16698,0.20936
AIG,"American International Group, Inc.",Financial Services,45491474432,11.114125,14.499005,1.0205995,-0.04876,0.105100006
AMT,American Tower Corporation,Real Estate,84574633984,26.618214,43.61205,23.22469,0.09942,0.45165002
AWK,"American Water Works Company, Inc.",Utilities,23976835072,21.532185,24.409723,2.3139353,0.21771999,0.41572
AMP,"Ameriprise Financial, Inc.",Financial Services,52240904192,13.904718,20.568563,9.1604,0.15517001,0.34145
AME,"AMETEK, Inc.",Industrials,41579925504,24.595177,31.371727,4.3538074,0.19271,0.25642002
AMGN,Amgen Inc.,Healthcare,145343561728,13.034796,34.53257,19.308056,0.13002,0.24156
APH,Amphenol Corporation,Technology,85646532608,32.70628,40.827587,9.058913,0.15403,0.21865
ADI,"Analog Devices, Inc.",Technology,107721261056,24.212873,66.17378,3.0623477,0.17068,0.2178
ANSS,"ANSYS, Inc.",Technology,29963870208,30.39475,52.795074,5.1391125,0.23008,0.26838
AON,Aon plc,Financial Services,78446166016,20.848648,31.05565,12.576888,0.16320999,0.19162
APA,APA Corporation,Energy,9383705600,7.144265,3.602983,1.8347198,0.24824,-0.089049995
APO,"Apollo Global Management, Inc.",Financial Services,93121994752,19.322662,17.397463,5.65567,0.18462,0.34789002
AAPL,Apple Inc.,Technology,3570147786752,28.588047,38.983578,63.02363,0.23971,0.31171
AMAT,"Applied Materials, Inc.",Technology,144848125952,17.042969,20.675379,7.789568,0.27743,0.28652
APTV,Aptiv PLC,Consumer Cyclical,14324245504,8.726673,6.7867374,1.6124269,0.122889996,0.11022
ACGL,Arch Capital Group Ltd.,Financial Services,35035656192,10.43296,6.249665,1.627005,0.33859003,0.24947001
ADM,Archer-Daniels-Midland Company,Consumer Defensive,24532525056,10.063167,14.400561,1.0898153,0.0293,0.0222
ANET,Arista Networks Inc,Technology,146277023744,47.165367,55.82452,3.9540625,0.40293998,0.43362
AJG,Arthur J. Gallagher & Co.,Financial Services,72445370368,25.178219,55.451244,5.2223005,0.10988,0.18721001
AIZ,"Assurant, Inc.",Financial Services,10675985408,11.491506,14.868571,2.0349786,0.06307,0.059710003
T,AT&T Inc.,Communication Services,157964009472,10.161691,17.898373,1.5431795,0.07419,0.23618999
ATO,Atmos Energy Corporation,Utilities,21871761408,18.216333,20.634165,1.7930179,0.2509,0.32149
ADSK,"Autodesk, Inc.",Technology,62957719552,31.62579,58.194225,33.7027,0.18208,0.23653999
ADP,"Automatic Data Processing, Inc.",Technology,119466393600,26.962557,31.32479,22.349264,0.19715,0.26488
AZO,"AutoZone, Inc.",Consumer Cyclical,54058147840,18.604576,21.553429,,0.14399,0.20896
AVB,"AvalonBay Communities, Inc.",Real Estate,31353298944,39.61682,30.154581,2.634611,0.35606998,0.33742002
AVY,Avery Dennison Corporation,Consumer Cyclical,15293937664,18.000359,22.851141,6.3961697,0.077649996,0.12810001
AXON,"Axon Enterprise, Inc.",Industrials,44706664448,93.24163,153.07573,21.2428,0.15324001,0.0448
BKR,Baker Hughes Company,Energy,45082808320,17.832052,20.430494,2.78348,0.082049996,0.13463001
BALL,Ball Corporation,Consumer Cyclical,16228405248,15.40475,22.658333,2.4415212,0.30424,0.11843
BAC,Bank of America Corporation,Financial Services,361814654976,12.719773,17.085144,1.3331543,0.24952,0.30769
BAX,Baxter International Inc.,Healthcare,15458051072,12.201462,121.1,1.963232,0.00717,0.08929
BDX,"Becton, Dickinson and Company",Healthcare,67531264000,14.894432,39.669506,2.6026602,0.07126,0.15192
BBY,"Best Buy Co., Inc.",Consumer Cyclical,17738653696,12.521638,14.207191,5.853676,0.02962,0.04048
TECH,Bio-Techne Corporation,Healthcare,11979661312,34.328968,79.36315,5.600995,0.12864,0.18145001
BIIB,Biogen Inc.,Healthcare,20734357504,8.604981,12.865279,1.2673007,0.16812,0.2074
BLK,"BlackRock, Inc.",Financial Services,154663731200,18.705936,24.626635,3.588031,0.31372,0.3985
BX,Blackstone Inc.,Financial Services,212902887424,30.22557,60.321304,19.234604,0.19971001,0.51078
BK,The Bank of New York Mellon Corporation,Financial Services,58947846144,10.839165,18.137585,1.5657288,0.20038,0.33231997
BA,The Boeing Company,Industrials,124661014528,238.47813,,,-0.10880999,-0.31418
BKNG,Booking Holdings Inc.,Consumer Cyclical,159977193472,23.090109,32.732647,,0.21846001,0.40893
BWA,BorgWarner Inc.,Consumer Cyclical,7013708800,6.9798727,7.938119,1.1393349,0.06331,0.08437
BSX,Boston Scientific Corporation,Healthcare,142799388672,34.5748,80.07438,6.8941226,0.112629995,0.17059
BMY,Bristol-Myers Squibb Company,Healthcare,113649065984,7.949106,,6.6290073,-0.15301,0.18475
AVGO,Broadcom Inc.,Technology,1064311980032,29.731607,177.39062,3.834113,0.108830005,0.31765
BR,"Broadridge Financial Solutions, Inc.",Technology,26518607872,24.21685,39.31889,12.020239,0.10572,0.09453
BRO,"Brown & Brown, Inc.",Financial Services,29525166080,25.168257,28.133514,4.568382,0.23066,0.28312
BLDR,"Builders FirstSource, Inc.",Industrials,18822152192,13.958434,15.987293,4.25026,0.07401,0.10113
BG,Bunge Global SA,Consumer Defensive,11243464704,8.988941,10.205957,1.1093584,0.02112,0.03076
BXP,"BXP, Inc.",Real Estate,12763303936,38.95828,31.463043,1.98505,0.10857,0.29790002
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,12240718848,21.069735,35.83218,7.4559,0.01956,0.03973
CDNS,"Cadence Design Systems, Inc.",Technology,82948104192,44.073715,79.58948,18.176573,0.23868,0.309
CZR,"Caesars Entertainment, Inc.",Consumer Cyclical,7108518912,24.477957,,1.6975341,-0.03203,0.22408001
CPT,Camden Property Trust,Real Estate,12083490816,64.83729,35.73107,2.7651846,0.2216,0.18878001
CPB,The Campbell's Company,Consumer Defensive,11521912832,11.599745,21.120218,3.0356581,0.05884,0.119490005
COF,Capital One Financial Corporation,Financial Services,72304082944,12.250625,17.926277,1.2458206,0.16455,0.29713
CAH,"Cardinal Health, Inc.",Healthcare,30103623680,14.271749,23.921154,,0.0057,0.01054
KMX,"CarMax, Inc.",Consumer Cyclical,12376286208,20.816843,27.370749,2.0881774,0.01508,0.02696
CCL,Carnival Corporation & plc,Consumer Cyclical,32601899008,12.255986,17.309027,3.6735446,0.063930005,0.27609
CARR,Carrier Global Corporation,Industrials,62034276352,23.002808,40.670586,4.224612,0.14003,0.12684
CAT,Caterpillar Inc.,Industrials,182670557184,17.072727,17.557077,9.4174385,0.1626,0.19496
CBOE,"Cboe Global Markets, Inc.",Financial Services,19877255168,21.073221,25.833334,4.7229066,0.19729,0.29118
CBRE,"CBRE Group, Inc.",Real Estate,40232185856,21.455873,42.54693,4.5496073,0.02792,0.043270003
CDW,CDW Corporation,Technology,24964091904,18.491678,22.928776,10.621313,0.05327,0.0877
CE,Celanese Corporation,Basic Materials,7729997824,8.017382,7.0433264,1.0622493,0.10402001,0.11517999
COR,"Cencora, Inc.",Healthcare,46099210240,14.507229,31.632626,59.508484,0.00513,0.00851
CNC,Centene Corporation,Healthcare,31771154432,8.593098,10.868739,1.1754926,0.02098,0.0296
CNP,"CenterPoint Energy, Inc.",Utilities,20790089728,18.268135,21.266666,1.9733992,0.11246,0.22575001
CF,"CF Industries Holdings, Inc.",Basic Materials,16753775616,16.39636,15.257528,3.231247,0.19455,0.26496
CRL,"Charles River Laboratories International, Inc.",Healthcare,8971334656,16.964905,21.902622,2.3718364,0.10436,0.14692001
SCHW,The Charles Schwab Corporation,Financial Services,133841387520,18.409363,28.560547,3.5180192,0.27471,0.38416
CHTR,"Charter Communications, Inc.",Communication Services,49600176128,9.694827,10.93901,3.518285,0.085200004,0.24341999
CVX,Chevron Corporation,Energy,281166807040,13.788718,17.32969,1.8143351,0.087019995,0.109110005
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,77722132480,43.099804,52.81481,21.524529,0.13512999,0.17483999
CB,Chubb Limited,Financial Services,107975835648,11.344097,10.978073,1.6417823,0.18277,0.19610001
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,25149044736,27.521141,46.03139,5.995211,0.09083,0.17582001
CI,The Cigna Group,Healthcare,78842470400,8.998296,26.8673,1.8820382,0.01323,0.027449999
CINF,Cincinnati Financial Corporation,Financial Services,22041978880,19.18707,7.246146,1.5966347,0.25257,0.31717
CTAS,Cintas Corporation,Industrials,78747574272,40.93783,47.021687,18.31097,0.16795,0.22427
CSCO,"Cisco Systems, Inc.",Technology,238885945344,15.239944,25.74249,5.285513,0.17731,0.17036
C,Citigroup Inc.,Financial Services,149031288832,8.7690115,22.450144,0.7732541,0.11524,0.24610001
CFG,"Citizens Financial Group, Inc.",Financial Services,20580737024,12.168462,18.313726,0.91111284,0.18229,0.27183
CLX,The Clorox Company,Consumer Defensive,19551209472,21.676123,54.843746,325.67007,0.0478,0.17367001
CME,CME Group Inc.,Financial Services,81452621824,21.774858,23.792631,2.880317,0.57434,0.64745003
CMS,CMS Energy Corporation,Utilities,19728773120,18.418564,18.811966,2.5015154,0.14005,0.23465
KO,The Coca-Cola Company,Consumer Defensive,266927652864,20.879894,25.711119,10.070502,0.2245,0.30235
CTSH,Cognizant Technology Solutions Corporation,Technology,38287527936,15.538036,17.08407,2.6502388,0.116009995,0.15285
CL,Colgate-Palmolive Company,Consumer Defensive,71774412800,22.938536,25.244253,165.13158,0.14264,0.21000999
CMCSA,Comcast Corporation,Communication Services,139630444544,8.343165,9.83558,1.6312025,0.11924,0.18269
CAG,"Conagra Brands, Inc.",Consumer Defensive,12185979904,9.906792,24.78641,1.446377,0.041389998,0.14738
COP,ConocoPhillips,Energy,136050180096,12.535414,12.476275,2.426742,0.17472,0.24277
ED,"Consolidated Edison, Inc.",Utilities,31167358976,15.98408,16.909773,1.421416,0.12267999,0.21237
STZ,"Constellation Brands, Inc.",Consumer Defensive,32818964480,12.381675,48.417336,3.4081993,0.05687,0.37085998
CEG,Constellation Energy Corporation,Utilities,95443746816,33.09002,33.637268,7.5968623,0.11926,0.22397
COO,"The Cooper Companies, Inc.",Healthcare,17966460928,20.257801,45.92857,2.2615817,0.09445,0.19195999
CPRT,"Copart, Inc.",Industrials,54574223360,32.012115,39.60839,7.249456,0.32171002,0.33633998
GLW,Corning Incorporated,Technology,41633165312,21.04195,255.92105,3.5648825,0.01237,0.11236
