,"Composition, wt.%",,,,,,,,,,,,,,"Ecrev, mV (SCE)",,,Test Temp.,Test Solution,[Cl-],pH,Test Method,Scan Rate,Heat treatment,Microstructures,Comments,Reference,,
No,Fe,Cr,Ni,Mo,W,N,Nb,C,Si,Mn,Cu,P,S,Al,Avg.,Max,Min,oC,,M,,,mV/s,,,,,Material class,
1,58.39,17.38,20.15,0.02,0.00,0.04,0.00,0.03,0.13,3.84,NA,0.014,0.011,0.00,-90,NA,NA,25,0.6 M NaCl and 0.1M NaHCO3,0.6000,7.68,"A potentiodynamic technique was used to measure the pitting potential in an aerated solution of 0.6 M sodium chloride and 0.1M sodium bicarbonate. Following pretreatment for 5 min at -1.5 V, the potential was increased-rapidly to -0.5V and thereafter at a steady rate of 1V in 50 min. ",0.33, Ingots were cast and hot rolled to 20 mm diameter bars which were heat treated at 1100°c for 30 min and cooled in still air.,NA,The specimen surface was ground to a 120 grit finish and 5 cm2 was exposed to the corrodent. ,71,Fe Alloy,
2,57.05,17.68,20.43,0.08,0.00,0.30,0.00,0.03,0.19,4.22,NA,0.017,0.01,0.00,-15,NA,NA,25,0.6 M NaCl and 0.1M NaHCO3,0.6000,7.68,"A potentiodynamic technique was used to measure the pitting potential in an aerated solution of 0.6 M sodium chloride and 0.1M sodium bicarbonate. Following pretreatment for 5 min at -1.5 V, the potential was increased-rapidly to -0.5V and thereafter at a steady rate of 1V in 50 min. ",0.33, Ingots were cast and hot rolled to 20 mm diameter bars which were heat treated at 1100°c for 30 min and cooled in still air,NA,The specimen surface was ground to a 120 grit finish and 5 cm2 was exposed to the corrodent. ,71,Fe Alloy,
3,56.46,17.95,19.90,1.03,0.00,0.03,0.00,0.04,0.19,4.38,NA,0.016,0.01,0.00,-30,NA,NA,25,0.6 M NaCl and 0.1M NaHCO3,0.6000,7.68,"A potentiodynamic technique was used to measure the pitting potential in an aerated solution of 0.6 M sodium chloride and 0.1M sodium bicarbonate. Following pretreatment for 5 min at -1.5 V, the potential was increased-rapidly to -0.5V and thereafter at a steady rate of 1V in 50 min. ",0.33, Ingots were cast and hot rolled to 20 mm diameter bars which were heat treated at 1100°c for 30 min and cooled in still air,NA,The specimen surface was ground to a 120 grit finish and 5 cm2 was exposed to the corrodent. ,71,Fe Alloy,
4,58.15,16.42,19.90,1.03,0.00,0.16,0.00,0.01,0.22,4.08,NA,0.02,0.016,0.00,-60,NA,NA,25,0.6 M NaCl and 0.1M NaHCO3,0.6000,7.68,"A potentiodynamic technique was used to measure the pitting potential in an aerated solution of 0.6 M sodium chloride and 0.1M sodium bicarbonate. Following pretreatment for 5 min at -1.5 V, the potential was increased-rapidly to -0.5V and thereafter at a steady rate of 1V in 50 min. ",0.33, Ingots were cast and hot rolled to 20 mm diameter bars which were heat treated at 1100°c for 30 min and cooled in still air,NA,The specimen surface was ground to a 120 grit finish and 5 cm2 was exposed to the corrodent. ,71,Fe Alloy,
5,57.41,16.86,19.98,1.03,0.00,0.27,0.00,0.02,0.33,4.06,NA,0.02,0.016,0.00,-20,NA,NA,25,0.6 M NaCl and 0.1M NaHCO3,0.6000,7.68,"A potentiodynamic technique was used to measure the pitting potential in an aerated solution of 0.6 M sodium chloride and 0.1M sodium bicarbonate. Following pretreatment for 5 min at -1.5 V, the potential was increased-rapidly to -0.5V and thereafter at a steady rate of 1V in 50 min. ",0.33, Ingots were cast and hot rolled to 20 mm diameter bars which were heat treated at 1100°c for 30 min and cooled in still air,NA,The specimen surface was ground to a 120 grit finish and 5 cm2 was exposed to the corrodent. ,71,Fe Alloy,
6,56.97,16.66,20.54,1.01,0.00,0.29,0.00,0.03,0.17,4.31,NA,0.018,0.012,0.00,20,NA,NA,25,0.6 M NaCl and 0.1M NaHCO3,0.6000,7.68,"A potentiodynamic technique was used to measure the pitting potential in an aerated solution of 0.6 M sodium chloride and 0.1M sodium bicarbonate. Following pretreatment for 5 min at -1.5 V, the potential was increased-rapidly to -0.5V and thereafter at a steady rate of 1V in 50 min. ",0.33, Ingots were cast and hot rolled to 20 mm diameter bars which were heat treated at 1100°c for 30 min and cooled in still air,NA,The specimen surface was ground to a 120 grit finish and 5 cm2 was exposed to the corrodent. ,71,Fe Alloy,
7,57.00,16.34,19.16,2.98,0.00,0.03,0.00,0.02,0.18,4.25,NA,0.019,0.014,0.00,10,NA,NA,25,0.6 M NaCl and 0.1M NaHCO3,0.6000,7.68,"A potentiodynamic technique was used to measure the pitting potential in an aerated solution of 0.6 M sodium chloride and 0.1M sodium bicarbonate. Following pretreatment for 5 min at -1.5 V, the potential was increased-rapidly to -0.5V and thereafter at a steady rate of 1V in 50 min. ",0.33, Ingots were cast and hot rolled to 20 mm diameter bars which were heat treated at 1100°c for 30 min and cooled in still air,NA,The specimen surface was ground to a 120 grit finish and 5 cm2 was exposed to the corrodent. ,71,Fe Alloy,
8,56.34,16.70,19.65,2.92,0.00,0.15,0.00,0.01,0.14,4.06,NA,0.017,0.019,0.00,40,NA,NA,25,0.6 M NaCl and 0.1M NaHCO3,0.6000,7.68,"A potentiodynamic technique was used to measure the pitting potential in an aerated solution of 0.6 M sodium chloride and 0.1M sodium bicarbonate. Following pretreatment for 5 min at -1.5 V, the potential was increased-rapidly to -0.5V and thereafter at a steady rate of 1V in 50 min. ",0.33, Ingots were cast and hot rolled to 20 mm diameter bars which were heat treated at 1100°c for 30 min and cooled in still air,NA,The specimen surface was ground to a 120 grit finish and 5 cm2 was exposed to the corrodent. ,71,Fe Alloy,
9,55.53,16.80,20.05,2.94,0.00,0.29,0.00,0.01,0.27,4.07,NA,0.02,0.018,0.00,95,NA,NA,25,0.6 M NaCl and 0.1M NaHCO3,0.6000,7.68,"A potentiodynamic technique was used to measure the pitting potential in an aerated solution of 0.6 M sodium chloride and 0.1M sodium bicarbonate. Following pretreatment for 5 min at -1.5 V, the potential was increased-rapidly to -0.5V and thereafter at a steady rate of 1V in 50 min. ",0.33, Ingots were cast and hot rolled to 20 mm diameter bars which were heat treated at 1100°c for 30 min and cooled in still air,NA,The specimen surface was ground to a 120 grit finish and 5 cm2 was exposed to the corrodent. ,71,Fe Alloy,
