,"Composition, wt.%",,,,,,,,,,,,,,,,,,,,,,,,"Epit, mV (SCE)",,,Test Temp.,Test Solution,[Cl-],,,Scan Rate,Heat treatment,Microstructures,Comments,Reference,Material class,,,,
No.,Fe,Cr,Ni,Mo,W,N,Nb,C,Si,Mn,Cu,P,S,Al,V,Ta,Re,Ce,Ti,Co,B,Mg,Y,Gd,Avg.,Max,Min,oC,,M,pH,Test Method,mV/s,,,,,,,,,
1.00,69.71,18.00,10.00,NA,0.00,0.00,0.00,0.03,1.00,1.00,0.20,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,287.00,NA,NA,50,"300 ppm NaCl, pH 7.8",0.0051,7.80,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,None,NA,S30403 (304L),49,Fe Alloy,,,,
2.00,69.71,18.00,10.00,NA,0.00,0.00,0.00,0.03,1.00,1.00,0.20,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,260.00,NA,NA,50,"500 ppm NaCl, pH 7.8",0.0086,7.80,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,None,NA,S30403 (304L),49,Fe Alloy,,,,
3.00,69.71,18.00,10.00,NA,0.00,0.00,0.00,0.03,1.00,1.00,0.20,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,218.00,NA,NA,50,"1000 ppm NaCl, pH 7.8",0.0171,7.80,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,None,NA,S30403 (304L),49,Fe Alloy,,,,
4.00,69.71,18.00,10.00,NA,0.00,0.00,0.00,0.03,1.00,1.00,0.20,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,140.00,NA,NA,50,"5000 ppm NaCl, pH 7.8",0.0856,7.80,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,None,NA,S30403 (304L),49,Fe Alloy,,,,
5.00,69.71,18.00,10.00,NA,0.00,NA,0.00,0.03,1.00,1.00,0.20,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.00,NA,NA,50,Seawater Natural,0.5460,8.20,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,None,NA,S30403 (304L),49,Fe Alloy,,,,
6.00,67.54,16.00,11.00,3.00,0.00,NA,0.00,0.02,1.00,1.00,0.20,0.05,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,344.00,NA,NA,50,"300 ppm NaCl, pH 7.8",0.0051,7.80,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,None,NA,S31603 (316L),49,Fe Alloy,,,,
7.00,67.54,16.00,11.00,3.00,0.00,NA,0.00,0.02,1.00,1.00,0.20,0.05,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,330.00,NA,NA,50,"500 ppm NaCl, pH 7.8",0.0086,7.80,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,None,NA,S31603 (316L),49,Fe Alloy,,,,
8.00,67.54,16.00,11.00,3.00,0.00,NA,0.00,0.02,1.00,1.00,0.20,0.05,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,284.00,NA,NA,50,"1000 ppm NaCl, pH 7.8",0.0171,7.80,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,None,NA,S31603 (316L),49,Fe Alloy,,,,
9.00,67.54,16.00,11.00,3.00,0.00,NA,0.00,0.02,1.00,1.00,0.20,0.05,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,232.00,NA,NA,50,"5000 ppm NaCl, pH 7.8",0.0856,7.80,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25?A/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.10,None,NA,S31603 (316L),49,Fe Alloy,,,,
