,Nominal comp. (wt%),,,,,,,,,,,,,,,,,,,,,,,,Ave. Erp,Test Temp,Test Solution,[Cl-],pH,Test Method,Scan Rate,Heat treatment,Microstructures,Comments,Material class,Reference,,
No.,Fe,Cr,Ni,Mo,W,N,Nb,C,Si,Mn,Cu,P,S,Al,V,Ta,Re,Ce,Ti,Co,B,Mg,Y,Gd,VSCE,oC,,M,pH,,mV/s,,,,,,,
1,80.69,18.00,0.00,0.00,0.00,0.00,0.00,0.01,0.29,1.00,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-504.03,60.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polarized in the noble direction with 10 mV/min steps and held for 1 h at the potential at which the polarizing current was > 100 mA. Specimens then were polarized in the active direction with 10 mV/min steps until the polarizing current decreased to 10 mA. Under 10 mA, the steps were decreased to 10 mV/h. ",0.17,"These steels were produced from 50 kg vacuummelted ingots and rolled to sheets 1 mm to 1.5 mm thick, with intermediate annealing and pickling. ",NA,All specimens for crevice corrosion tests were polished to a 320-grit finish and degreased with acetone. ,Fe Alloy,48,,
2,78.26,18.40,0.00,1.96,0.00,0.01,0.00,0.01,0.28,1.08,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-403.47,60.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polarized in the noble direction with 10 mV/min steps and held for 1 h at the potential at which the polarizing current was > 100 mA. Specimens then were polarized in the active direction with 10 mV/min steps until the polarizing current decreased to 10 mA. Under 10 mA, the steps were decreased to 10 mV/h. ",0.17,"These steels were produced from 50 kg vacuummelted ingots and rolled to sheets 1 mm to 1.5 mm thick, with intermediate annealing and pickling. ",NA,All specimens for crevice corrosion tests were polished to a 320-grit finish and degreased with acetone. ,Fe Alloy,48,,
3,76.45,22.20,0.01,0.03,0.00,0.00,0.00,0.01,0.31,0.99,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-478.89,60.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polarized in the noble direction with 10 mV/min steps and held for 1 h at the potential at which the polarizing current was > 100 mA. Specimens then were polarized in the active direction with 10 mV/min steps until the polarizing current decreased to 10 mA. Under 10 mA, the steps were decreased to 10 mV/h. ",0.17,"These steels were produced from 50 kg vacuummelted ingots and rolled to sheets 1 mm to 1.5 mm thick, with intermediate annealing and pickling. ",NA,All specimens for crevice corrosion tests were polished to a 320-grit finish and degreased with acetone. ,Fe Alloy,48,,
4,74.38,22.40,0.00,1.91,0.00,0.00,0.00,0.01,0.30,0.99,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-382.06,60.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polarized in the noble direction with 10 mV/min steps and held for 1 h at the potential at which the polarizing current was > 100 mA. Specimens then were polarized in the active direction with 10 mV/min steps until the polarizing current decreased to 10 mA. Under 10 mA, the steps were decreased to 10 mV/h. ",0.17,"These steels were produced from 50 kg vacuummelted ingots and rolled to sheets 1 mm to 1.5 mm thick, with intermediate annealing and pickling. ",NA,All specimens for crevice corrosion tests were polished to a 320-grit finish and degreased with acetone. ,Fe Alloy,48,,
5,72.14,26.50,0.00,0.04,0.00,0.00,0.00,0.01,0.30,1.00,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-465.86,60.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polarized in the noble direction with 10 mV/min steps and held for 1 h at the potential at which the polarizing current was > 100 mA. Specimens then were polarized in the active direction with 10 mV/min steps until the polarizing current decreased to 10 mA. Under 10 mA, the steps were decreased to 10 mV/h. ",0.17,"These steels were produced from 50 kg vacuummelted ingots and rolled to sheets 1 mm to 1.5 mm thick, with intermediate annealing and pickling. ",NA,All specimens for crevice corrosion tests were polished to a 320-grit finish and degreased with acetone. ,Fe Alloy,48,,
6,69.90,26.90,0.00,1.91,0.00,0.00,0.00,0.01,0.30,0.97,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-394.16,60.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polarized in the noble direction with 10 mV/min steps and held for 1 h at the potential at which the polarizing current was > 100 mA. Specimens then were polarized in the active direction with 10 mV/min steps until the polarizing current decreased to 10 mA. Under 10 mA, the steps were decreased to 10 mV/h. ",0.17,"These steels were produced from 50 kg vacuummelted ingots and rolled to sheets 1 mm to 1.5 mm thick, with intermediate annealing and pickling. ",NA,All specimens for crevice corrosion tests were polished to a 320-grit finish and degreased with acetone. ,Fe Alloy,48,,
7,68.05,26.70,0.01,3.99,0.00,0.01,0.00,0.01,0.26,0.98,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-332.71,60.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polarized in the noble direction with 10 mV/min steps and held for 1 h at the potential at which the polarizing current was > 100 mA. Specimens then were polarized in the active direction with 10 mV/min steps until the polarizing current decreased to 10 mA. Under 10 mA, the steps were decreased to 10 mV/h. ",0.17,"These steels were produced from 50 kg vacuummelted ingots and rolled to sheets 1 mm to 1.5 mm thick, with intermediate annealing and pickling. ",NA,All specimens for crevice corrosion tests were polished to a 320-grit finish and degreased with acetone. ,Fe Alloy,48,,
8,67.47,18.60,12.60,0.03,0.00,0.00,0.00,0.01,0.29,1.00,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-323.40,60.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polarized in the noble direction with 10 mV/min steps and held for 1 h at the potential at which the polarizing current was > 100 mA. Specimens then were polarized in the active direction with 10 mV/min steps until the polarizing current decreased to 10 mA. Under 10 mA, the steps were decreased to 10 mV/h. ",0.17,"These steels were produced from 50 kg vacuummelted ingots and rolled to sheets 1 mm to 1.5 mm thick, with intermediate annealing and pickling. ",NA,All specimens for crevice corrosion tests were polished to a 320-grit finish and degreased with acetone. ,Fe Alloy,48,,
9,63.04,18.50,15.30,1.91,0.00,0.00,0.00,0.01,0.24,1.00,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-258.22,60.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polarized in the noble direction with 10 mV/min steps and held for 1 h at the potential at which the polarizing current was > 100 mA. Specimens then were polarized in the active direction with 10 mV/min steps until the polarizing current decreased to 10 mA. Under 10 mA, the steps were decreased to 10 mV/h. ",0.17,"These steels were produced from 50 kg vacuummelted ingots and rolled to sheets 1 mm to 1.5 mm thick, with intermediate annealing and pickling. ",NA,All specimens for crevice corrosion tests were polished to a 320-grit finish and degreased with acetone. ,Fe Alloy,48,,
10,58.20,22.90,17.60,0.02,0.00,0.00,0.00,0.01,0.31,0.96,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-230.29,60.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polarized in the noble direction with 10 mV/min steps and held for 1 h at the potential at which the polarizing current was > 100 mA. Specimens then were polarized in the active direction with 10 mV/min steps until the polarizing current decreased to 10 mA. Under 10 mA, the steps were decreased to 10 mV/h. ",0.17,"These steels were produced from 50 kg vacuummelted ingots and rolled to sheets 1 mm to 1.5 mm thick, with intermediate annealing and pickling. ",NA,All specimens for crevice corrosion tests were polished to a 320-grit finish and degreased with acetone. ,Fe Alloy,48,,
11,53.48,22.60,20.80,1.85,0.00,0.00,0.00,0.01,0.27,0.99,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-224.70,60.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polarized in the noble direction with 10 mV/min steps and held for 1 h at the potential at which the polarizing current was > 100 mA. Specimens then were polarized in the active direction with 10 mV/min steps until the polarizing current decreased to 10 mA. Under 10 mA, the steps were decreased to 10 mV/h. ",0.17,"These steels were produced from 50 kg vacuummelted ingots and rolled to sheets 1 mm to 1.5 mm thick, with intermediate annealing and pickling. ",NA,All specimens for crevice corrosion tests were polished to a 320-grit finish and degreased with acetone. ,Fe Alloy,48,,
