Ford,Clorox,Chubb,Hormel Food,Grainger,AT&T,AbbVie,Amcor,Ecolab,Pentair
0.027861796,0.010210479,0.016308719,0.00305546,-0.003423576,0.021119992,0.008035073,0.00918575,0.017173844,0.03264709
0.019786248,-0.011476571,-0.003750296,0.003480446,-0.030234255,0.003650719,-0.001222644,-0.00918575,-0.033473384,-0.011630606
0.026582355,0.016473944,0.023430618,0.018503163,0.027885166,0.016520829,0.018543902,0.023218236,0.031468252,0.013769519
0.008705985,-0.012399931,-0.02365431,-0.017634941,0.008826067,-0.011072989,-0.029800261,0,0.005071897,0.01463602
0.01175105,-0.011846347,0.005621439,-0.003912961,0.011216638,0.022332786,-0.012574145,-0.006578981,0.013094677,0.01026508
0.029165501,0.00685689,-0.000712036,0.019627491,0.032039005,-0.003086366,-0.015593216,0.004938375,0.013379253,0.031996171
0.015760156,0.006110224,0.004397951,-0.006213243,-0.016868795,0,-0.022539945,0.001640606,-0.00565614,0.006438727
-0.054315459,0.022774749,0.007023089,-0.003356576,0.00230283,0.007186795,0.009024948,-0.005754194,0.006822293,0.013150198
-0.003938575,0.012784872,-0.011331979,0.005408278,-0.003823562,-0.011316969,-0.005025697,0.001647363,-0.007996526,0.0001979
-0.020734385,-0.032064789,-0.018239504,-0.041631308,-0.001750944,-0.016167236,-0.024038406,-0.022472846,-0.018778343,-0.005755612
-0.018707265,-0.024938613,-0.006002607,0,-0.041028403,-0.00421493,-0.003289464,-0.011003045,-0.011707896,-0.040597237
0.017901118,0.019621668,0.005367553,0.002695384,0.022582709,0.015195344,0.005899878,0.011003045,0.028395136,0.023254499
0.03174879,0.002102247,0.014233963,0.001569058,0.002638174,-0.006782955,-0.006976541,0.010050438,0.009180704,0.025704119
-0.004698638,-0.004953068,0.02106556,-0.001120563,0.016088142,0.003136216,-0.005806074,-0.021904866,-0.004026462,-0.001190134
0.003917063,0.003469721,0.006199218,0.003581054,-0.019422721,0.063690112,0.000676762,0.003401279,-0.008298912,0.007120405
0.010112792,0.002893967,0.005814989,0,0.009033024,-0.02078258,-0.002642354,0.004235551,-0.003615285,-0.00296067
0.026729428,-0.009774151,-0.016491101,0.002900162,0.012069935,-0.002503067,-0.007627404,0.010092703,0.003156042,0.018410149
-0.029053996,0.011675248,-0.005558093,-0.002453379,0.006154661,0.010471163,-0.004316027,-0.014328254,-0.012351899,-0.016238292
0.046978253,0.017710742,0.006261612,0.011766166,0.024314394,0.010362808,0.014315264,0.023491135,0.028630385,0.088292675
0.020513487,-0.001936988,-0.063750371,0.000661878,0.014433443,-0.009371115,-0.00781391,0.000828801,0.005795865,0.039651152
0.037713472,-0.023896589,-0.015439168,0,0.121882542,0.004943195,-0.012078158,0.010712889,0.022791194,0.043968742
-0.079170162,0.093180244,-0.00157139,-0.002207995,0.000355147,-0.022439355,0.002482377,-0.014032486,-0.038583292,-0.014049397
-0.006826053,-0.014316579,0.018929487,0.008802833,-0.002266484,-0.012687308,-0.001240415,-0.008347131,-0.010492595,-0.019388398
0.023318262,-0.005784642,0.006060598,-0.010130023,0.005914777,-0.016997486,0.000827145,-0.003358618,0.003947572,-0.010704472
-0.00223303,-0.00502288,0.000929202,-0.012472332,-0.021624567,-0.004686368,-0.003658359,-0.05444103,-0.007050756,-0.015745571
